ID,SMILES,Fluorescence
1,COC1=CC=C(C=C1)N1C(=O)NC(CC(=O)N2CCC(CC2)C2=CC=CC=C2)C1=O,0
4,O=C(CCCC(=O)N1CCOC(C1)C1=CC=CC=C1)N1CCOC(C1)C1=CC=CC=C1,0
6,CSCC[C@@H](CO)NC(=O)C1=CN(C)C2=C(F)C=C(F)C=C2C1=O,0
7,OC[C@H](CC1=CC=CC=C1)NC(=O)CC1NC(=O)N(CCC2=CC=CC=C2)C1=O,0
9,CC(=O)NC1=CC=CC(=C1)N1C(=O)NC(CCC(=O)N2CCN(CC2)C2=CC=CC=C2)C1=O,0
10,CC(C)CC(NC(=O)CCC1NC(=O)N(C1=O)C1=CC=CC=C1)C1=NN=C2C=CC=CN12,0
11,OC[C@H](CC1=CC=CC=C1)NC(=O)C1=CN(CC2=CC=NC=C2)C(=O)C2=CC=CC=C12,1
12,COC1=CC=C(C=C1)N1C(=O)NC(CCC(=O)NC(C)C2=NC3=CC=CC=C3N2)C1=O,0
13,CC1=CSC(=N1)N1C(=O)NC(CC(=O)NCCC2=CC=CC=N2)C1=O,0
15,CC[C@H](C)[C@H](N1C=NN=N1)C(=O)NC1=CC=C(C=C1)N1CCCS1(=O)=O,0
16,CC1=C(CC(=O)N2CCCCC2C2=CC=CN=C2)C(=O)OC2=CC(O)=CC=C12,1
19,CN1C=CC2=CC(=CC=C12)C(=O)NCCC1=CC=C(O)C=C1,0
20,ClC1=C2C=CN(CCNC(=O)CC3NC(=O)N(CC4=CC=CO4)C3=O)C2=CC=C1,0
21,COC1=CC=CC2=C1C=CN2CCNC(=O)CN1C(C)=CC(O)=CC1=O,0
22,OC1=C2C=C(F)C=CC2=NC=C1C(=O)N1CCN(CCC2=CC=NC=C2)CC1,0
23,CCS(=O)(=O)C1=CC=C(O)C(NC(=O)CN2C=NC3=CC(OC)=C(OC)C=C3C2=O)=C1,0
24,O=C(CCNC1=NC=NC2=C1N=CN2)NCCC1CCN(CC2=CC=CC=C2)CC1,0
25,CC[C@@H](C)[C@@H](CO)NC(=O)CN1N=CC2=CC=CC=C2C1=O,0
26,CC[C@@H](C)[C@@H](CO)NC(=O)C1=NNC2=C1CCCCC2,0
27,CC[C@@H](C)[C@@H](CO)NC(=O)CC1=C(NN=C1C)C1=CC=C(Cl)C=C1,0
29,CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(C)=CC=C1,0
30,CC(C)OCCCNC(=O)C1=C(N=NS1)C1=CC=CC=C1,0
33,CSCC[C@@H](CO)NC(=O)C1=CNC2=C(C=CC=C2C1=O)C(C)C,0
34,CC1(C)OC(=O)CC1C(=O)N1CCCCC1C1=CC=CC=N1,0
35,CSCC[C@@H](CO)NC(=O)CN1C=NC2=C(C=C(S2)C2=CC=CC=C2)C1=O,1
36,CC1(C)OC(=O)CC1C(=O)NCCN1C=CN=C1C1=CC=CC=C1,0
38,O=C(CN1C=CC2=C(C=NC3=CC=NN23)C1=O)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,1
39,CC1=CC(O)=CC(=O)N1CCCC(=O)N1CCCC1C1=NC2=CC=CC=C2N1,0
40,COC1=CC(NC(=O)C2=CC3=C(C=C2)N(C)C=C3)=CC(OC)=C1OC,0
41,CSCC[C@@H](CO)NC(=O)CCC1=C(C)NC2=CC=NN2C1=O,0
42,COC1=CC=CC2=C1C=CN2CCNC(=O)CN1C(C)=CC=C1C,0
43,OC[C@H](CC1=CC=CC=C1)NC(=O)C1=NNC2=C1COC1=CC=CC=C21,1
44,C[C@@H](CO)NC(=O)C1=NNC(=C1)C1=CSC=C1,0
45,CC(C)[C@@H](CO)NC(=O)CC1=C(C)C2=CC=C(O)C=C2OC1=O,1
47,CC(C)NC(=O)CN1C=CC2=C(NS(C)(=O)=O)C=CC=C12,0
48,CN1N=CC(C(=O)NC2=CC=C(C=C2)N2CCCCS2(=O)=O)=C1N1C=CC=C1,0
49,CN1C=CC2=CC=C(C=C12)C(=O)NC1=NC=CC=C1C,1
50,COC1=CC=C(OC)C(NC(=O)C2=C(N(C)N=C2)N2C=CC=C2)=C1,0
53,COC1=C(OC)C=C2C(=O)N(CC(=O)N[C@@H](C)C(=O)N3CCN(CC4=CC=CC=C4)CC3)C=NC2=C1,0
54,CS(=O)(=O)N1CCC2=CC(=CC=C12)C(=O)CN1C=NC2=C(SC=C2)C1=O,0
55,FC1=CC=C2C(=O)N(C=NC2=C1)C1CCC2=CC=CC=C2NC1=O,0
56,CN1C(=O)COC2=CC=C(C=C12)C(=O)CN1C=NC2=CC(F)=CC=C2C1=O,0
57,CS(=O)(=O)N1CCC2=CC(=CC=C12)C(=O)CN1C=NC2=CC(F)=CC=C2C1=O,0
58,OCCNC(=O)C1=CC=C2C(=O)N(CCC3=CNC4=CC=CC=C34)C(=O)C2=C1,0
60,COC1=C(OC)C=C2C(=O)N(CC(=O)NCC(=O)N3CCN(CC4=CC=CC=C4)CC3)C=NC2=C1,0
63,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCN1C=NC3=CC=CC=C13)C(=O)C2,0
65,COC1=CC2=C(C=C1OC)C=CN(CC(=O)N1CCSCC1)C(=O)C2,0
66,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCC1=CC=CC=C1Cl)C(=O)C2,0
67,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCC1=CC=CO1)C(=O)C2,0
