ID,SMILES,Transmittance(340),Transmittance(450),Fluorescence(340/450),Fluorescence(>480)
8,O=C(CCC1NC(=O)N(C1=O)C1=CC=CC2=CC=CC=C12)NCCC1=CC=CO1,0,0,0,0
32,CC[C@@H](C)[C@@H](CO)NC(=O)C1=CC=C2OCC(=O)NC2=C1,0,0,0,0
46,CC1(C)CC(CC(C)(C)N1)NC(=O)CN1C=CC2=C(NS(C)(=O)=O)C=CC=C12,0,0,0,0
52,O=C(CCC1=NN=C2C=CC=CN2C1=O)NCCC1=CC=NC=C1,0,0,0,0
62,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCC(C)C)C(=O)C2,0,0,0,0
64,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCCOC(C)C)C(=O)C2,0,0,0,0
74,COC1=C(OC)C=C2C(=O)N(CCC(=O)NC3=CC=C(O)C=C3)C=NC2=C1,0,0,0,0
82,CSCC[C@H](NC(=O)C1=C(C)C2=C(S1)N=CNC2=O)C1=NN=C2C=CC=CN12,0,0,1,0
89,COC1=CC=C(CN2C(=O)N[C@@H](CC(=O)NC3=CC=CC4=C3C=CN4C)C2=O)C=C1OC,0,0,0,0
91,COC1=CC=C(CCN2C(=O)N[C@@H](CC(=O)NC3=NC(C)=C(C)S3)C2=O)C=C1,0,0,0,0
93,OC1=C2C=CC=C(F)C2=NC=C1C(=O)NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1,0,0,0,0
94,COC1=CC2=C(C=C1)N(CCC(=O)NC1=CC=C3NC(=O)[C@@H]4CCCN4C(=O)C3=C1)C=C2,0,0,0,0
96,O=C(NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1)C1=CC(=NN1)C1=CC=CC=N1,0,0,1,0
110,COC1=CC=C(CC2=NC(NC(=O)C[C@@H]3NC(=O)C4=CC=CC=C4NC3=O)=NN2)C=C1,0,0,0,0
117,COC1=CC=C(CN2C(=O)N[C@@H](CCC(=O)NCCC3=CC=C(O)C=C3)C2=O)C=C1OC,0,0,0,0
128,CC1=NC=CN1CCNC(=O)C[C@@H]1NC(=O)N(CCC2=CC=CC=C2)C1=O,0,0,0,0
129,O=C(C[C@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=NC(=NN1)C1=CC=CS1,0,0,0,0
130,O=C(CC[C@@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=CC=C2N=CN(C3CC3)C(=O)C2=C1,0,0,0,0
131,Cl.CS(=O)(=O)CCC(N)C1=NC(=NO1)C1=CC=CO1,0,0,0,0
137,C[C@H](N1CC2=CC=CC=C2C1=O)C(=O)NC1=C2CSCC2=NN1C,0,0,0,0
138,O=C(NC1CCS(=O)(=O)C1)NC1=CC=C(C=C1)C(=O)NCCC1=CNC2=CC=CC=C12,0,0,0,0
