id,smiles,t340,t450,f340,f480,plate,plate_index,plate_code,well_col,well_row
8,O=C(CCC1NC(=O)N(C1=O)C1=CC=CC2=CC=CC=C12)NCCC1=CC=CO1,0,0,0,0,C1109,0,1109,0,14
32,CC[C@@H](C)[C@@H](CO)NC(=O)C1=CC=C2OCC(=O)NC2=C1,0,0,0,0,C1109,0,1109,6,14
46,CC1(C)CC(CC(C)(C)N1)NC(=O)CN1C=CC2=C(NS(C)(=O)=O)C=CC=C12,0,0,0,0,C1109,0,1109,10,10
52,O=C(CCC1=NN=C2C=CC=CN2C1=O)NCCC1=CC=NC=C1,0,0,0,0,C1109,0,1109,12,6
62,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCC(C)C)C(=O)C2,0,0,0,0,C1109,0,1109,14,10
64,COC1=CC2=C(C=C1OC)C=CN(CC(=O)NCCCOC(C)C)C(=O)C2,0,0,0,0,C1109,0,1109,14,14
74,COC1=C(OC)C=C2C(=O)N(CCC(=O)NC3=CC=C(O)C=C3)C=NC2=C1,0,0,0,0,C1109,0,1109,18,2
82,CSCC[C@H](NC(=O)C1=C(C)C2=C(S1)N=CNC2=O)C1=NN=C2C=CC=CN12,0,0,1,0,C1109,0,1109,20,2
89,COC1=CC=C(CN2C(=O)N[C@@H](CC(=O)NC3=CC=CC4=C3C=CN4C)C2=O)C=C1OC,0,0,0,0,C1109,0,1109,1,0
91,COC1=CC=C(CCN2C(=O)N[C@@H](CC(=O)NC3=NC(C)=C(C)S3)C2=O)C=C1,0,0,0,0,C1109,0,1109,1,4
93,OC1=C2C=CC=C(F)C2=NC=C1C(=O)NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1,0,0,0,0,C1109,0,1109,1,8
94,COC1=CC2=C(C=C1)N(CCC(=O)NC1=CC=C3NC(=O)[C@@H]4CCCN4C(=O)C3=C1)C=C2,0,0,0,0,C1109,0,1109,1,10
96,O=C(NC1=CC=C2NC(=O)[C@@H]3CCCN3C(=O)C2=C1)C1=CC(=NN1)C1=CC=CC=N1,0,0,1,0,C1109,0,1109,1,14
110,COC1=CC=C(CC2=NC(NC(=O)C[C@@H]3NC(=O)C4=CC=CC=C4NC3=O)=NN2)C=C1,0,0,0,0,C1109,0,1109,5,10
117,COC1=CC=C(CN2C(=O)N[C@@H](CCC(=O)NCCC3=CC=C(O)C=C3)C2=O)C=C1OC,0,0,0,0,C1109,0,1109,7,8
128,CC1=NC=CN1CCNC(=O)C[C@@H]1NC(=O)N(CCC2=CC=CC=C2)C1=O,0,0,0,0,C1109,0,1109,9,14
129,O=C(C[C@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=NC(=NN1)C1=CC=CS1,0,0,0,0,C1109,0,1109,11,0
130,O=C(CC[C@@H]1NC(=O)C2=CC=CC=C2NC1=O)NC1=CC=C2N=CN(C3CC3)C(=O)C2=C1,0,0,0,0,C1109,0,1109,11,2
131,Cl.CS(=O)(=O)CCC(N)C1=NC(=NO1)C1=CC=CO1,0,0,0,0,C1109,0,1109,11,4
137,C[C@H](N1CC2=CC=CC=C2C1=O)C(=O)NC1=C2CSCC2=NN1C,0,0,0,0,C1109,0,1109,13,0
138,O=C(NC1CCS(=O)(=O)C1)NC1=CC=C(C=C1)C(=O)NCCC1=CNC2=CC=CC=C12,0,0,0,0,C1109,0,1109,13,2
139,CN1C(=O)C2=CC=C(NC(=O)C3=NN(C)C(=O)C4=CC=CC=C34)C=C2C1=O,0,0,1,0,C1109,0,1109,13,4
155,O=C(CN1C=CC2=CC=CC=C12)NC1=CC=C2C(=O)OCC2=C1,0,0,0,0,C1109,0,1109,17,4
158,COC1=CC=C2NC(=CC2=C1)C(=O)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,0,0,1,0,C1109,0,1109,17,10
163,O=C(CCCNC(=O)C1=CN=CC=N1)N1CCCCC1C1=NC2=CC=CC=C2N1,0,0,0,0,C1109,0,1109,19,4
164,COC1=CC=CC2=C1C=CN2CCCNC(=O)CC1NC(=O)C2=CC=CC=C2NC1=O,0,0,0,0,C1109,0,1109,19,6
170,CN1C(=O)C=C(C(=O)NC2=CC=NC=C2)C2=CC=CC=C12,0,0,1,0,C1109,0,1109,21,2
188,O=C(NCC1=CC=CC=C1)C1CCN(CC1)C(=O)C1CN(C(=O)C1)C1=CC=CC=C1,0,0,0,0,C1109,0,1109,2,7
192,CN1N(C(=O)C(NC(=O)C2=C(C3=CC=CC=C3)S(=O)(=O)CCO2)=C1C)C1=CC=CC=C1,0,0,0,0,C1109,0,1109,2,15
197,CCN(CCC1=CC=NC=C1)C(=O)C1=CC=C(C=C1)S(=O)(=O)C1CCS(=O)(=O)C1,0,0,0,0,C1109,0,1109,4,9
203,CC(C)NC(=O)C1=CC(=CC=C1F)S(=O)(=O)C1CCS(=O)(=O)C1,0,0,0,0,C1109,0,1109,6,5
207,FC1=CC=C(C=C1C(=O)NCC1=CC=CO1)S(=O)(=O)C1CCS(=O)(=O)C1,0,0,0,0,C1109,0,1109,6,13
208,FC1=CC=C(CNC(=O)C2=CC(=CC=C2F)S(=O)(=O)C2CCS(=O)(=O)C2)C=C1,0,0,0,0,C1109,0,1109,6,15
209,FC1=CC=C(C=C1C(=O)NCC1=CC=CC=N1)S(=O)(=O)C1CCS(=O)(=O)C1,0,0,0,0,C1109,0,1109,8,1
